iter	Passed	Remaining
0	0	56
1	1	54
2	1	50
3	1	47
4	2	46
5	3	47
6	3	46
7	4	46
8	4	46
9	5	45
10	5	43
11	5	42
12	6	42
13	6	41
14	7	40
15	7	39
16	8	39
17	8	38
18	8	37
19	9	36
20	9	36
21	10	35
22	10	34
23	10	34
24	11	33
25	11	32
26	12	32
27	12	31
28	13	31
29	13	31
30	13	31
31	14	30
32	14	30
33	15	30
34	15	29
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	23	22
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	35	12
73	35	12
74	36	12
75	36	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
